Statements,Label,Domain
"Accounts payable These are the yet-to-be-paid bills to the company’s vendors. Generally, accounts payable are the largest current liability for most businesses.",Current liabilities,Liabilities 
"Interest payable interest expense that has already been incurred but has not been paid. Interest payable should not be confused with interest expense, which is the expense on an income statement. ",Current liabilities,Liabilities 
"Income taxes payable the income tax amount owed by a company to the government. The tax amount owed must generally be payable within one year. Otherwise, the tax owed would be classified as a long-term liability.",Current liabilities,Liabilities 
"Bank account overdrafts effectively, a type of short-term loan provided by a bank when a payment is processed with insufficient funds available in the bank account.",Current liabilities,Liabilities 
"Accrued expenses expenses that have been incurred but no supporting documentation (e.g., invoice) has been received or issued to the company by the vendor.",Current liabilities,Liabilities 
Deferred revenue (also called unearned revenue). Generated when a company receives early payment for goods and/or services that have not been delivered or completed yet.,Current liabilities,Liabilities 
Short-term loans or current portion of long-term debt loans or other borrowings with a maturity of one year or less .,Current liabilities,Liabilities 
The current ratio current assets divided by current liabilities.,Current liabilities,Liabilities 
"The quick ratio current assets, minus inventory, divided by current liabilities.",Current liabilities,Liabilities 
The cash ratio cash and cash equivalents divided by current liabilities.,Current liabilities,Liabilities 
"Bonds payable The amount of outstanding bonds with a maturity of over one year issued by a company. On a balance sheet, the bonds payable account indicates the value of the company’s outstanding bonds.",Non-current liabilities,Liabilities 
"Notes payable The amount of promissory notes with a maturity of over one year issued by a company. Similar to bonds payable, the notes payable account on a balance sheet indicates the value of the promissory notes.",Non-current liabilities,Liabilities 
"Deferred tax liabilities These arise from the difference between the amount of tax recognized on the income statement and the actual tax amount due to be paid to the appropriate tax authorities. As a liability, it essentially means that the company “underpays” the taxes in the current period and will “overpay” the taxes at some point in the future.",Non-current liabilities,Liabilities 
"Mortgage payable/long-term debt If a company takes out a mortgage or a long-term debt, it records the value of the borrowed principal amount as a non-current liability on the balance sheet.",Non-current liabilities,Liabilities 
Leases Leases are recognized as a liability when a company enters into a long-term rental agreement for property or equipment. The lease amount is the present value of the lessee’s obligation.,Non-current liabilities,Liabilities 
"Contingent liabilities are a special category of liabilities. They are possible liabilities that may or may not arise, depending on the outcome of an uncertain future event. A contingent liability is recognized only if both of the following conditions are met.",Contingent liabilities,Liabilities 
The outcome is probable.,Contingent liabilities,Liabilities 
The liability amount can be reasonably estimated.,Contingent liabilities,Liabilities 
"If one of the conditions is not satisfied, a company does not report a contingent liability on the balance sheet. However, it should disclose this item in a footnote on the financial statements.",Contingent liabilities,Liabilities 
"One of the most common examples of contingent liabilities is legal liabilities. Suppose that a company is involved in litigation. Due to the stronger evidence provided by the opposite party, the company expects to lose the case in court, which will result in legal expenses. The legal expenses may be recognized as contingent liabilities .",Contingent liabilities,Liabilities 
The expenses are probable.,Contingent liabilities,Liabilities 
The legal expenses can be reasonably estimated (based on the remedies asked by the opposite party).,Contingent liabilities,Liabilities 
"It refers to those financial obligations which a company is liable to settle or pay off within 12 months. Hence, they are also called short-term liabilities. They form an essential part of a company’s workday functions as current liabilities directly affect its working capital and impact its liquidity.",Current liabilities,Liabilities 
Working capital = Current assets – Current liabilities.,Current liabilities,Liabilities 
"Examples of current liabilities are – bills payables, trade payable, creditors, bank overdraft, outstanding or accrued expenses, short-term loans or debentures, etc.",Current liabilities,Liabilities 
"Current liability also acts as a guiding component for crucial metrics that determine a company’s short-term financial strength and standing. It is used to derive ratios such as quick ratio, current ratio, and cash ratio.",Current liabilities,Liabilities 
Accounts payable.,Current liabilities,Liabilities 
Short-term loans.,Current liabilities,Liabilities 
Accrued expenses.,Current liabilities,Liabilities 
Bank account overdrafts.,Current liabilities,Liabilities 
Bills payable.,Current liabilities,Liabilities 
Income taxes payable.,Current liabilities,Liabilities 
Customer deposits.,Current liabilities,Liabilities 
Salaries payable.,Current liabilities,Liabilities 
"Non-current liabilities, as the name suggests, are financial obligations that a company is not liable to pay off or settle in the short run of its business operations, i.e. 12 months. It is also referred to as long-term liabilities.",Non-current liabilities,Liabilities 
"This group of liabilities is used to derive several crucial metrics which pose as formidable quantifiers of a company’s financial health. For instance, long-term debt-to-total-assets ratio aids in understanding to what extent a company is dependent on borrowings to finance its capital operations.",Non-current liabilities,Liabilities 
"A low percentage implies that a company is not heavily dependent on borrowed capital and primarily functions on the owner’s capital. However, it is essential to understand which percentage qualifies as healthy depending on the respective industry.",Non-current liabilities,Liabilities 
"Examples of non-current liabilities are – debentures, mortgage loans, deferred tax payable, bonds, derivative liabilities, etc.",Non-current liabilities,Liabilities 
"Analysts reckon a company’s potential to pay off its non-current liabilities with future earnings to determine its bankability and the risk it poses to shareholders. In other words, the non-current liabilities of a company are quintessential to approximating its long-term solvency. Hence, investors seeking to engage in long-term investments shall always glance at the long-term liabilities of an organisation before forming a decision.",Non-current liabilities,Liabilities 
Deferred tax liabilities.,Non-current liabilities,Liabilities 
Mortgage payable.,Non-current liabilities,Liabilities 
Bonds payable.,Non-current liabilities,Liabilities 
Capital leases,Non-current liabilities,Liabilities 
Long-term notes payable.,Non-current liabilities,Liabilities 
"Although it was mentioned earlier that liabilities are categorised based on their priority of settlement, this type digresses to that definition. Contingent liabilities are referred to as those obligations that might or might not arise in the future.",Contingent liabilities,Liabilities 
"In the accounting context, contingent liabilities are only recorded in the books if they are at least 50% likely to occur in the future. One primary example of such is a lawsuit. A lawsuit stands a 50% chance of being successful, thus posing as a potential obligation to such an organisation.",Contingent liabilities,Liabilities 
Warranty liability,Contingent liabilities,Liabilities 
Lawsuits payable,Contingent liabilities,Liabilities 
Investigation.,Contingent liabilities,Liabilities 
"Ideally, analysts want to see that a company can pay current liabilities, which are due within a year, with cash. Some examples of short-term liabilities include payroll expenses and accounts payable, which include money owed to vendors, monthly utilities, and similar expenses. Other examples include.",Current liabilities,Liabilities 
Wages Payable.,Current liabilities,Liabilities 
Interest Payable.,Current liabilities,Liabilities 
Dividends Payable.,Current liabilities,Liabilities 
Unearned Revenues.,Current liabilities,Liabilities 
Liabilities of Discontinued Operations.,Current liabilities,Liabilities 
"Considering the name, it’s quite obvious that any liability that is not near-term falls under non-current liabilities, expected to be paid in 12 months or more. Referring again to the AT&T example, there are more items than your garden variety company that may list one or two items. Long-term debt, also known as bonds payable, is usually the largest liability and at the top of the list.",Non-current liabilities,Liabilities 
"Companies of all sizes finance part of their ongoing long-term operations by issuing bonds that are essentially loans from each party that purchases the bonds. This line item is in constant flux as bonds are issued, mature, or called back by the issuer.",Non-current liabilities,Liabilities 
"Analysts want to see that long-term liabilities can be paid with assets derived from future earnings or financing transactions. Bonds and loans are not the only long-term liabilities companies incur. Items like rent, deferred taxes, payroll, and pension obligations can also be listed under long-term liabilities. Other examples include",Non-current liabilities,Liabilities 
Warranty Liability.,Non-current liabilities,Liabilities 
Contingent Liability Evaluation.,Non-current liabilities,Liabilities 
Deferred Credits.,Non-current liabilities,Liabilities 
Post-Employment Benefits.,Non-current liabilities,Liabilities 
Unamortized Investment Tax Credits (UITC).,Non-current liabilities,Liabilities 
