Statements,Label,Domain
"Environmental issues may include corporate climate policies, energy use, waste, pollution, natural resource conservation, and treatment of animals. ESG considerations can also help evaluate any environmental risks a company might face and how the company is managing those risks.",Environment,ESG
"Considerations may include direct and indirect greenhouse gas emissions, management of toxic waste, and compliance with environmental regulations.",Environment,ESG
Publishes a carbon or sustainability report,Environment,ESG
Limits harmful pollutants and chemicals,Environment,ESG
Seeks to lower greenhouse gas emissions and CO2 footprint,Environment,ESG
Uses renewable energy sources,Environment,ESG
Reduces waste,Environment,ESG
"Environmental factors refer to an organization’s environmental impact(s) and risk management practices. These include direct and indirect greenhouse gas emissions, management’s stewardship over natural resources, and the firm’s overall resiliency against physical climate risks (like climate change, flooding, and fires).",Environment,ESG
"Environmental factors involve how much an organization considers the protection of natural resources. These factors include the environment, climate change, energy consumption and use and its overall impact.",Environment,ESG
Examples of environmental factors include:,Environment,ESG
Air and water quality,Environment,ESG
Biodiversity,Environment,ESG
Deforestation,Environment,ESG
Energy performance,Environment,ESG
"Carbon footprint, including greenhouse gas emissions",Environment,ESG
Natural resource depletion,Environment,ESG
Waste management and pollution,Environment,ESG
"Environmental aspect: Data is reported on climate change, greenhouse gas emissions, biodiversity loss, deforestation, pollution, energy efficiency and water management.",Environment,ESG
"Threat of climate change has grown, so investors may choose to factor sustainability issues into their investment choices. The issues often represent externalities, such as influences on the functioning and revenues of the company that are not exclusively affected by market mechanisms.[31] As with all areas of ESG, the breadth of possible concerns is vast (e.g. greenhouse gas emissions, biodiversity, waste management, water management) but some of the chief areas are listed below:",Environment,ESG
Climate crisis[edit],Environment,ESG
"The body of research providing evidence of global trends in climate change has led investors—pension funds, holders of insurance reserves—to begin to screen investments in terms of their impact on the perceived factors of climate change. Fossil fuel-reliant industries are less attractive.[32] In the UK, investment policies were particularly affected by the conclusions of the Stern Review in 2006, a report commissioned by the British government to provide an economic analysis of the issues associated with climate change. Its conclusions pointed towards the necessity of including considerations of climate change and environmental issues in all financial calculations and that the benefits of early action on climate change would outweigh its costs.[33]",Environment,ESG
Environmental sustainability[edit],Environment,ESG
Further information: environmental sustainability,Environment,ESG
In every area of the debate from the depletion of resources to the future of industries dependent upon diminishing raw materials the question of the obsolescence of a company's product or service is becoming central to the value ascribed to that company. The long-term view is becoming prevalent amongst investors.[24],Environment,ESG
Conservation of the natural world,Environment,ESG
- Climate change and carbon emissions,Environment,ESG
- Air and water pollution,Environment,ESG
- Biodiversity,Environment,ESG
- Deforestation,Environment,ESG
- Energy efficiency,Environment,ESG
- Waste management,Environment,ESG
- Water scarcity,Environment,ESG
"Environmental commitment: This includes everything around a company’s commitment to sustainability and the impact it has on the environment, including its carbon emissions and footprint, energy usage, waste, and environmental responsibility.",Environment,ESG
Preservation of our natural world,Environment,ESG
Climate change,Environment,ESG
Carbon emission reduction,Environment,ESG
Water pollution and water scarcity,Environment,ESG
Air pollution,Environment,ESG
Deforestation,Environment,ESG
Greenhouse gas emissions,Environment,ESG
Social aspects look at the company’s relationships with internal and external stakeholders.5,Social,ESG
Does it hold suppliers to its own ESG standards? Does the company donate a percentage of its profits to the local community or encourage employees to perform volunteer work there? Do workplace conditions reflect a high regard for employees’ health and safety? Or does the company take unethical advantage of its customers?,Social,ESG
"Socially responsible investing (SRI) is an investment strategy that highlights this one facet of ESG. SRI investors seek companies that promote ethical and socially conscious themes including diversity, inclusion, community-focus, social justice, and corporate ethics, in addition to fighting against racial, gender, and sexual discrimination.",Social,ESG
